"Step","buffer_bs128_0408200148 - Episode Reward","buffer_bs128_0408200148 - Episode Reward__MIN","buffer_bs128_0408200148 - Episode Reward__MAX"
"0","8","8","8"
"1","19","19","19"
"2","6","6","6"
"3","5","5","5"
"4","-2","-2","-2"
"5","6","6","6"
"6","12","12","12"
"7","10","10","10"
"8","5","5","5"
"9","12","12","12"
"10","10","10","10"
"11","-3","-3","-3"
"12","-7","-7","-7"
"13","-5","-5","-5"
"14","-7","-7","-7"
"15","11","11","11"
"16","12","12","12"
"17","9","9","9"
"18","1","1","1"
"19","9","9","9"
"20","20","20","20"
"21","1","1","1"
"22","20","20","20"
"23","14","14","14"
"24","20","20","20"
"25","-2","-2","-2"
"26","-4","-4","-4"
"27","20","20","20"
"28","6","6","6"
"29","-14","-14","-14"
"30","20","20","20"
"31","7","7","7"
"32","20","20","20"
"33","-4","-4","-4"
"34","9","9","9"
"35","10","10","10"
"36","8","8","8"
"37","-5","-5","-5"
"38","12","12","12"
"39","20","20","20"
"40","7","7","7"
"41","20","20","20"
"42","-2","-2","-2"
"43","9","9","9"
"44","7","7","7"
"45","9","9","9"
"46","8","8","8"
"47","5","5","5"
"48","20","20","20"
"49","-1","-1","-1"
"50","10","10","10"
"51","20","20","20"
"52","3","3","3"
"53","20","20","20"
"54","20","20","20"
"55","5","5","5"
"56","6","6","6"
"57","1","1","1"
"58","-2","-2","-2"
"59","8","8","8"
"60","20","20","20"
"61","20","20","20"
"62","7","7","7"
"63","7","7","7"
"64","12","12","12"
"65","20","20","20"
"66","8","8","8"
"67","7","7","7"
"68","7","7","7"
"69","20","20","20"
"70","4","4","4"
"71","4","4","4"
"72","-1","-1","-1"
"73","9","9","9"
"74","-1","-1","-1"
"75","-7","-7","-7"
"76","9","9","9"
"77","12","12","12"
"78","-3","-3","-3"
"79","8","8","8"
"80","20","20","20"
"81","20","20","20"
"82","20","20","20"
"83","20","20","20"
"84","12","12","12"
"85","3","3","3"
"86","7","7","7"
"87","11","11","11"
"88","5","5","5"
"89","15","15","15"
"90","4","4","4"
"91","19","19","19"
"92","20","20","20"
"93","-1","-1","-1"
"94","-8","-8","-8"
"95","-6","-6","-6"
"96","8","8","8"
"97","10","10","10"
